zpid , street , zipcode , city , state , latitude , longitude , price , bedrooms , bathrooms , finishedSqFt , lotSizeSqFt , yearBuilt , yearUpdated , numFloors , view , parkingType , heatingSources , heatingSystem , rooms , neighborhood , schoolDistrict , homeDescription 
40000003,60 Montrose Ave,7023,FANWOOD,NJ,40.649677,-74.38907,NA,3,1.5,NA,10454,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beautifully maintained and landscaped home conveniently located close to schools, parks and NYC transportation.Many updates incl:newer windows,furnace,CAC,entry door,garage doors,corian countertops"
40000004,117 Pleasant Ave,7023,FANWOOD,NJ,40.6495,-74.388788,NA,4,2.5,1641,9583,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000009,79 Pleasant Ave,7023,FANWOOD,NJ,40.648488,-74.38992,NA,4,2.5,1969,7501,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Totally renovated colonial, open floor plan, hardwood floors, sliders to 14x12 deck. 2nd floor laundry, master bdrm w/ walk in closet and bath, in walking distance to schools and Fanwood train station Just finishing final touches, deck being built, garage will be finished"
40000010,75 Pleasant Ave,7023,FANWOOD,NJ,40.648331,-74.390096,NA,3,2,1415,7405,1950,NA,2,NA,Garage - Attached,Gas,"Baseboard, Other","Office, Workshop, Family room, Laundry room",NA,NA,"NEW PRICE!!!!! POSSIBILITIES ARE ENDLESS FOR SETTING UP THIS CUTE AND COZY CAPE! NEWER FAMILY RM ADDITION W SLIDERS TO DECK OVERLKING FENCED IN YARD CAN BE USED AS DINING RM. CURRENT DINING RM CAN BE USED AS BEDRM.  NEW 1ST FLR BATH, EAT IN KIT W/SS APPL, FORMAL LIVING RM W/WOOD BURNING FIREPLACE, ENTRY FOYER W COAT CLOSET, FIN BSMT W/REC RM,LAUNDRY RM,WORKSHOP & UTIL RM. PLUS ACCESS TO BACKYARD. 2ND FLR OFFERS A LARGE BEDRM, 1/2 BATH, AND 9x7 SPACE FOR OFFICE/NURSERY/WALK IN CLOSET. NEWER WINDOWS, NEWER ROOF OVER FAM RM AND GARAGE, ERA HOME WARR INCLUDED IN SALE. SECONDS AWAY FROM FOREST ROAD PARK, SCHOOLS, AND DOWNTOWN SHOPPING. A QUICK WALK TO FANWOOD TRAIN STATION AS WELL."
40000012,61 Pleasant Ave,7023,FANWOOD,NJ,40.648016,-74.390447,NA,4,2,1356,7501,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charming Cape Cod Style home with an Oversized Garage in a Wonderful Neighborhood.  Freshly Painted, HWF throughout and newer windows.  Large basement with walk out - just waiting to be finished.  4 bedroom / 2 Full Baths.  Walk in Closet.  Plenty of closets and storage.  Close to Forest Road Park, downtown Scotch Plains.  Excellent Schools."
40000018,84 Pleasant Ave,7023,FANWOOD,NJ,40.648321,-74.38939,NA,3,2,1610,7405,1960,NA,1,NA,Garage - Attached,Gas,Forced air,Dining room,NA,NA,"Welcome home to this fabulous 1500 Sq Ft Henry West custom Ranch.   One floor living at its best.  Experience the Inviting floor plan with dramatic skylights in living room, kitchen and main bath. The home also features solid oak floors in the Living Room with Heatilator Fireplace, formal Dining Room, and Bedrooms.  Relax in the beautiful Family Room with floor-to-ceiling windows and custom treatments, included in the sale.  Eat-in Kitchen features granite countertops, SS  appliances, original wood cabinets and an Italian ceramic floor.  Finished basement. Beautifully landscaped with a collage of charming trees plus brick-paved walkways and patio with a charming pergola. Water activated sump pump, french drains, backup generator. Newer roof.  90% energy-efficient gas furnace & central air. Walk to schools."
40000022,47 Saint Johns Pl,7023,FANWOOD,NJ,40.647959,-74.388834,NA,4,2,1099,8712,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wonderful opportunity to restore this Cape Cod home to its prior glory! The location is ideal as it backs to Forest Road Park! Lots of projects for the weekend warrior! Presently there is no driveway access to the garage
,,,,,,,,,,,,,,,,,,,,,,
40000025,57 Woodland Ave,7023,FANWOOD,NJ,40.646639,-74.388248,NA,3,2,1289,6969,1925,2001,4,NA,Garage - Detached,Gas,Baseboard,"Family room, Pantry",NA,NA,"Charming traditional elements and modern conveniences are found throughout this magical Colonial home. Hardwood floors, Siberian pine wide-plank floors are throughout with natural wood framed windows,French and pocket doors and classic moldings adorn the sun lit rooms. The highlight of the first floor is the kitchen and dining area addition with granite counters, stainless steel appliances, tumbled marble backsplash, walk-in pantry, vaulted ceiling, laundry and powder room. The second floor has two good size bedrooms, a third perfect for nursery, office or large walk-in closet and an updated bath. Partially finished basement. Private yard and oversize garage completes this lovely home located close to Forest Park, schools, town and NJ Transit."
40000026,61 Woodland Ave,7023,FANWOOD,NJ,40.646854,-74.388186,NA,4,NA,1236,13939,1830,2012,2,Park,Off-street,Electric,Other,"Dining room, Family room, Mud room",NA,NA,Well kept home on beautiful quiet street backing up to Forest Rd park. Extra Deep lot. Walk to NYC train and bus.
40000028,75 Woodland Ave,7023,FANWOOD,NJ,40.647154,-74.387803,NA,5,4,3993,21052,2013,2013,2,Park,Garage - Attached,Gas,Forced air,"Dining room, Family room, Laundry room, Master bath, Mud room, Office, Pantry, Workshop, Walk-in closet",NA,NA,NA
40000029,81 Woodland Ave,7023,FANWOOD,NJ,40.647189,-74.387409,NA,4,3,1712,11848,1932,2008,2,NA,Garage - Detached,NA,NA,"Dining room, Family room, Master bath, Mud room",NA,NA,NA
40000031,99 Woodland Ave,7023,FANWOOD,NJ,40.647567,-74.386984,NA,3,2.5,1570,14810,1954,NA,NA,NA,Garage - Attached,Gas,Baseboard,NA,NA,NA,"Welcoming you with a light-hearted spirit, this sun-dappled Ranch offers an idyllic venue, surprising you at every turn. Hardwood floors, graceful archways, many windows and classic moldings mingle with thoughtful updates and upgrades. The eat-in kitchen offers granite counters, stainless appliances, powder room and a wonderful, recently constructed back foyer with sliders to the deck, garage and superb finished basement. Private spaces are generous and joined by two full baths. An unbelievably spacious, private backyard and a wonderful location ensure that this is the place you'll want to come home to."
40000032,19 Oakwood Ct,7023,FANWOOD,NJ,40.647915,-74.38707,NA,5,3,2800,16801,1951,NA,2,NA,Garage - Attached,NA,NA,NA,NA,NA,NA
40000033,106 Woodruff Pl,7023,FANWOOD,NJ,40.648249,-74.38751,NA,4,2.5,3500,9125,2006,2007,3,None,Garage - Attached,Gas,Forced air,"Dining room, Family room, Laundry room, Master bath, Mud room, Recreation room, Walk-in closet",NA,NA,"This home has four bedrooms upstairs with two full baths.  The master bedroom features a walk-in closet, an office area and an attached laundry room.  The first floor has a large eat-in kitchen with breakfast bar, family room with gas fireplace, dining room and living room.  There is also a powder room on the first floor.  The basement is finished with a rec room / wet bar area, 1/2 bath and theater with stadium seating for 11."
,,,,,,,,,,,,,,,,,,,,,,
40000038,45 Estelle Ln,7023,FANWOOD,NJ,40.649068,-74.388582,NA,4,3,2439,8712,2016,NA,2,NA,Garage - Attached,NA,NA,"Dining room, Family room, Master bath",NA,NA,"Wonderful 3 bdrm ranch located on a spacious corner lot. Fireplace is being sold ""as is""."
40000041,29 Estelle Ln,7023,FANWOOD,NJ,40.648749,-74.38802,NA,4,2,NA,6534,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000046,44 Saint Johns Pl,7023,FANWOOD,NJ,40.648423,-74.388323,NA,3,2,1400,8250,1930,NA,2,Park,NA,NA,NA,NA,NA,NA,Charming small colonial overlooking town park.  Massive trees provide privacy and shade.
40000048,54 Saint Johns Pl,7023,FANWOOD,NJ,40.648646,-74.388673,NA,5,4,2900,7840,2013,NA,NA,NA,Garage - Attached,Gas,Forced air,"Pantry, Family room, Laundry room, Dining room",NA,NA,"Brand new construction. Open and airy floor plan. 5 bedrooms, custom kitchen with stainless steel appliances, island and granite counter tops. Gas fireplace in family room. Hardwood floors throughout. Close to NYC transportation, close to park."
40000053,68 Portland Ave,7023,FANWOOD,NJ,40.650851,-74.388983,NA,4,2,1148,7840,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Move into this spacious 4 Bedroom 2 bath home featuring a Living Room with wood burning fireplace; Formal Dining Room with sliders to deck; Kitchen; and Family Room. Oversized garage great for storage. Amenities include CAC, vinyl siding and updated bathrooms."
40000054,70 Portland Ave,7023,FANWOOD,NJ,40.651012,-74.388812,NA,3,1.5,1760,7840,1960,NA,NA,NA,Garage - Attached,Gas,Forced air,NA,NA,NA,NA
40000056,74 Portland Ave,7023,FANWOOD,NJ,40.651338,-74.388462,NA,3,2,NA,8276,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Awaiting your arrival, this bright and sunny home has an ideal open floor plan, many desirable updates: refinished hardwood floors, carpeting, windows, six panel interior doors, interior painted and a whole house generator! Convenient location - close to all schools and train! GREAT NEIGBHORHOOD! Preview our virtual tour!"
40000058,63 Montrose Ave,7023,FANWOOD,NJ,40.650188,-74.389206,NA,4,3,1900,7801,1960,2010,3,None,Garage - Attached,Gas,Forced air,"Dining room, Family room, Laundry room, Master bath, Office, Walk-in closet",NA,Scotch Plains - Fanwood,NA
40000059,65 Montrose Ave,7023,FANWOOD,NJ,40.650348,-74.389035,NA,3,2,1493,7802,1960,NA,4,NA,Garage - Attached,NA,NA,NA,NA,NA,"Beautiful Split Level set on a 75 X 104 size lot. This home boasts 3 bedrooms, 1 full and 1 half bath. Sliders to deck from the family room. Updated kitchen with center island, and granite countertops. New furnace and CAC in 2011."
40000063,73 Montrose Ave,7023,FANWOOD,NJ,40.650991,-74.38835,NA,3,1.5,1984,7840,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beautifully maintained split level with plenty of living and storage space. The ground level foyer opens to a large family room addition with new carpet and a wood burning fireplace. There are gleaming hardwood floors throughout the first floor and in all of the bedrooms. The main bathroom has been recently updated to include a relaxing Jacuzzi tub and stall shower. Other features include a newly renovated powder room, upgraded electrical system, newer windows and siding. The backyard offers a large deck and privacy fencing. All of this within a short distance of schools, parks and train station."
40000064,75 Montrose Ave,7023,FANWOOD,NJ,40.651157,-74.388176,NA,3,2,1713,8320,1960,2017,3,NA,"Garage - Attached, Off-street",Gas,Forced air,"Dining room, Family room, Laundry room, Pantry, Recreation room",NA,NA,"Truly turn key, completely renovated, open concept 3 bedroom 1.5 half bath split level located in a very desirable area. Brand new bathrooms and kitchen with center island, granite counter tops and  stainless steel appliances. Newly refinished hardwood floors throughout. Brand new roof and siding, new masonry and landscaping, new windows and upgraded electrical panel makes this a maintenance free home for years to come."
40000066,78 Portland Ave,7023,FANWOOD,NJ,40.651845,-74.387921,NA,4,3,2000,8276,1960,2017,2,NA,Garage - Attached,Gas,Forced air,NA,NA,NA,"Beautifully renovated home in one of Fanwood's most coveted neighboroods!This home features new siding, roof, windows, electric, plumbing, and gleaming hardwood floors throughout! You will be captivated by the new Master Bedroom Suite addition with a huge WIC private en suite with soaking tub and separate shower stall.Chef's will love cooking in this redesigned classic open concept Kitchen offering granite counter-tops, center island, and stainless steel appliances. French doors lead to a newly constructed deck accessed conveniently off the dining room area. Hurry and make an offer because this home will not last!In close proximity to Brunner Elementary and High School."
40000067,80 Portland Ave,7023,FANWOOD,NJ,40.652018,-74.387736,NA,4,2,1800,8276,1958,NA,NA,NA,Garage - Attached,Gas,Forced air,NA,NA,NA,"Beautifully Maintained Home with Covered Porch Located on a Quiet Tree Lined Street Move In Condition! Spacious and Open Floor Plan Just Perfect for Relaxing or Entertaining. Freshly Painted w Hardwood Floors.This is a Fantastic Home with Lots of Room to Roam Situated on a Level Lot in One of the Most Desirable Towns. This Special Home Features: 4 Bedrooms, 2 Full Baths, Living Room, Dining Room, Eat in Kitchen with Wood Cabinets and a Door Leading to the Private Backyard, Family Room w Gas Fireplace, Office, Laundry  Utility Room w  Walk Out, Nest Thermostat and One Car Garage. Convenient to Everything: NYC Transportation, Top Rated Schools, Shops - You Will Love It All. Click on Media Link for Tour and Floor Plans.No Smoking. No Pets. Must have Renter's Insurance"
40000069,84 Portland Ave,7023,FANWOOD,NJ,40.652361,-74.38737,NA,3,1.5,1374,8320,1960,NA,NA,NA,NA,Gas,Forced air,NA,NA,NA,"Mr. n' Mrs. Clean live in this exceptionally well maintained home, conveniently located for schools, NYC transportation, shopping and parks. Professionally landscaped yard. A MUST SEE!!!! Updated kitchen and baths. Recently refinished hardwood floors. 6 year old roof. Upgrades to electric service and plumbing (water pressure), HWH 6 yrs., Schools are just a block away."
40000071,77 Montrose Ave,7023,FANWOOD,NJ,40.651444,-74.387867,NA,3,2,1421,9152,1961,NA,2,NA,Garage - Attached,Gas,Forced air,"Dining room, Family room",NA,NA,NA
40000074,83 Montrose Ave,7023,FANWOOD,NJ,40.651951,-74.387323,NA,4,2,NA,8111,NA,NA,2,None,Garage - Attached,NA,NA,"Family room, Master bath",NA,NA,NA
40000075,85 Montrose Ave,7023,FANWOOD,NJ,40.652117,-74.387145,NA,5,3,9999,8276,1960,NA,3,NA,Garage - Attached,NA,NA,NA,NA,NA,"Wonderful neighborhood just steps from the High School. Add some TLC to make this home your own! Design your new kitchen, polish the wood floors & paint to create your new abode! Being sold ""as is"""
40000078,91 Montrose Ave,7023,FANWOOD,NJ,40.652619,-74.386617,NA,NA,1.5,1500,8425,1960,NA,2,NA,NA,NA,NA,NA,NA,NA,Welcome to this spacious bi-level home. Open foyer welcomes you into the formal Living Room and Dining Room and eat-in Kitchen. There are hardwood floors under the newer carpet and three bedrooms and a full bath.
40000079,327 Westfield Rd,7023,FANWOOD,NJ,40.6528,-74.386348,NA,4,1.5,1806,8851,1958,NA,2,NA,Garage - Attached,Gas,NA,Dining room,NA,NA,NA
40000086,137 Pleasant Ave,7023,FANWOOD,NJ,40.650026,-74.388176,NA,4,2,2324,6098,1952,NA,2,NA,Garage - Attached,"Gas, Electric",Baseboard,Dining room,NA,Scotch Plains-Fanwood,"BEAUTIFULLY RENOVATED, MOVE-IN READY HOME with a great open flow! Gleaming HWF, NEW EIK with granite counters, breakfast bar, S/S/S and appliances. Two NEW FULL baths. Kit opens to the warm and inviting family room with new W/W carpeting overlooks rear yard. 4 generous size bedrooms with tremendous closet space and a fantastic basement rec room!  Close to Brunner Elementary and Park Middle schools now with FULL DAY Kindergarten and downtown SP!"
40000087,143 Pleasant Ave,7023,FANWOOD,NJ,40.650163,-74.388029,NA,4,2,2095,6098,1952,NA,2,NA,Garage - Attached,Gas,Forced air,"Family room, Laundry room, Master bath, Office, Recreation room, Walk-in closet",NA,NA,"Beautiful, well kept 4 bdrm w/ everything you're looking for including LOCATION! Stylish formal living room with gas fireplace, EIK & family room with direct access to private patio & yard. 4 nice sized bedrooms, (2 with large walk-in closets!) including master bedroom suite with master bathroom, walk-in and additional closets!  Extra BONUS ROOM-large enough for a family room, playroom, gym or all three! Two full bathrooms, tons of closets and storage space and extra room to easily accommodate a home office if needed. Adorable, charming tree-lined neighborhood just minutes from Downtown Fanwood, the Fanwood Train Station, dining, shopping & the highly regarded schools of Scotch Plains- Fanwood. Taxes should be confirmed with the township by the buyer."
40000095,177 Pleasant Ave,7023,FANWOOD,NJ,40.651211,-74.386896,NA,4,2.5,2020,9086,1950,1995,3,NA,Garage - Attached,Gas,Forced air,"Walk-in closet, Master bath, Laundry room, Family room, Dining room",NA,Scotch Plains-Fanwood,NA
40000097,183 Pleasant Ave,7023,FANWOOD,NJ,40.651345,-74.386663,NA,4,3,1443,12118,1950,NA,1,NA,Garage - Attached,NA,NA,"Dining room, Family room",NA,NA,NA
40000098,187 Pleasant Ave,7023,FANWOOD,NJ,40.651415,-74.386412,NA,4,3,2168,12994,1952,NA,2,NA,"Garage - Attached, Off-street",Gas,Forced air,"Dining room, Family room",NA,NA,"Split-Level, Large Over-sized Lot, Partially-finished basement. Central A/C.  Large screened porch.  Walking distance to all grades of the desireable Scotch Plains-Fanwood School system.  Convinent to NJ Transit train and bus for a hassel-free commute to the City.  Fanwood is one of NJ's ""top three places to raise a family""."
40000099,201 Pleasant Ave,7023,FANWOOD,NJ,40.651496,-74.385726,NA,3,1.5,1458,8682,1954,NA,2,NA,Garage - Attached,Gas,Forced air,"Dining room, Family room, Laundry room, Master bath, Pantry, Recreation room, Walk-in closet",NA,NA,"This lovely Split-Level home features three bedrooms, updated  baths,  kitchen, siding, windows and so much more.  Deep yard with natural gas grill and patio are great for outside entertaining."
40000100,203 Pleasant Ave,7023,FANWOOD,NJ,40.651624,-74.385586,NA,4,2,2650,9800,1960,1970,2,NA,Garage - Attached,NA,NA,"Breakfast nook, Dining room, Family room, Laundry room, Mud room",NA,NA,"Welcome to this spacious 4BR 2FB split level w/ ample living and storage space. The inviting LR and DR has gleaming hardwood floors and a bay window. The bright eat-in Kitchen leads to a warm FR w/ wood burning fireplace. The 2nd floor offers 3BRs and Full Bath. The ground level has a sunny 4th BR/Office w/ updated Full Bath. The organizational mud room opens to a patio and huge private yard. Freshly painted exterior and new roof. Large cedar closet in basement. Conveniently located near downtown Fanwood, NYC transportation and award winning NJ schools."
40000102,209 Pleasant Ave,7023,FANWOOD,NJ,40.651962,-74.385085,NA,3,1.5,1485,12602,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 bedroom, 1.5 bath split level on a corner lot close to schools and public transportation. New full  bath. Hardwood floors redone. exterior and interior newly painted."
40000103,295 Westfield Rd,7023,FANWOOD,NJ,40.652088,-74.385301,NA,3,2,1316,13503,1958,NA,1,NA,NA,NA,NA,"Workshop, Family room, Laundry room, Dining room",NA,NA,NA
40000104,317 Westfield Rd,7023,FANWOOD,NJ,40.652344,-74.38566,NA,3,2,1053,13503,1945,NA,2,NA,Garage - Attached,NA,Forced air,NA,NA,NA,"Immaculate and renovated 1945 Cape is set on .31 acres of level and manicured property in a desirable residential neighborhood of Fanwood. The home is conveniently located near excellent schools, shopping, parks and restaurants, with "
40000106,315 Westfield Rd,7023,FANWOOD,NJ,40.652519,-74.385962,NA,4,2,1537,18151,1943,2003,2,NA,Garage - Attached,Gas,Forced air,NA,NA,NA,NA
40000108,88 Montrose Ave,7023,FANWOOD,NJ,40.652072,-74.386423,NA,3,1.5,1942,9601,1960,NA,2,NA,"Garage - Attached, Off-street",Gas,Forced air,"Dining room, Family room, Laundry room, Walk-in closet",NA,NA," BEAUTIFUL UPDATED HOME WITH GREAT SIZE ROOMS, WONDERFUL FLOW & GORGEOUS HWFS IN LR, DR, HALLWAY AND ALL BEDROOMS, FRESHLY PAINTED INTERIOR AND MANY NEWER WINDOWS HUGE FAMILY ROOM WITH BEAUTIFUL BRAND NEW CARPETING, PRETTY HUGE MAIN BATH WITH ACCESS FROM MASTER BEDROOM AND UPDATED POWDER ROOM. DOOR IN KITCHEN LEADS YOU TO A GORGEOUS DECK AND PEACEFUL BACKYARD TO ENTERTAIN OR JUST RELAX IN! WALKING DISTANCE TO ALL SCHOOLS, DOWNTOWN SCOTCH PLAINS AND EASY ACCESS TO FANWOOD AND WESTFIELD TRAIN STATIONS OR JUST ENJOY SOME SHOPPING AND RESTAURANTS IN ALL OF THESE SPECIAL TOWNS. TRANSIT BUSES ALSO NEARBY!! A WONDERFUL HOME, FABULOUS NEIGHBORHOOD AND GREAT SCHOOLS, FANWOOD TRAINS REPORTED IN THE NY TIMES ON MAY 6, 2014 HIGHLIGHTING FANWOODS ""REMAKING A TRANSIT-ORIENTED DOWNTOWN AND 5 NEW DIRECT TRAINS OFF PEAK"" WITH MORE COMING!!! JUST MOVE IN!!"
40000109,86 Montrose Ave,7023,FANWOOD,NJ,40.651909,-74.386592,NA,3,1.5,1520,10018,1961,NA,1,NA,Garage - Attached,NA,NA,NA,NA,NA,"Ground entry split with new roof, freshly painted full exterior & interior, newly refinished hardwood floors in liv rm, din rm, stairways, hallway & 3 bedrms.  Great location just couple of blocks to SPF High School, 5 blocks to Park Middle and Brunner Elementary.  Approx 1/2mile to Fanwood train, downtowns of both Fanwood & Scotch Plains.  Great property size of 75 x 131, large fenced in yard!  Just call Maureen to see 908-391-9295"
40000113,74 Montrose Ave,7023,FANWOOD,NJ,40.650931,-74.387692,NA,3,1.5,2306,7775,1962,NA,NA,NA,NA,Gas,Forced air,NA,NA,NA,NICELY MAINTAINED 3 BEDROOM - 1.5 BATHS -1ST FLOOR FAMILY ROOM + GROUND LEVEL FAMILY ROOM -GAS/CENTRAL AIR - BEAUTIFUL STATE OF THE ART KITCHEN -MOVE-IN CONDITION! -NEW ROOF - 2 BUILT IN GARAGES
40000116,66 Montrose Ave,7023,FANWOOD,NJ,40.650278,-74.388392,NA,3,2,1562,8276,1960,NA,1,NA,Garage - Attached,Gas,Forced air,"Dining room, Family room",NA,NA,NA
40000121,229 Terrill Rd,7023,FANWOOD,NJ,40.639131,-74.399096,NA,4,2,NA,6534,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great starter home opportunity! Updated Eat-In Kitchen, new carpet in MBR and Bsmt Rec Rm, newer roof, appliances included, fenced yard, playground, koi pond. Home Warranty. Seller financing available."
40000123,239 Terrill Rd,7023,FANWOOD,NJ,40.638928,-74.398747,NA,3,2,910,6708,1952,NA,1,NA,Garage - Detached,Gas,"Baseboard, Forced air","Dining room, Family room, Laundry room, Master bath, Walk-in closet",NA,NA,"Great starter home with plenty of room to grow. Hardwood floors, thermo-pane replacement windows, full basement, outside entrance, 1 car garage with door opener, close to major highways, shopping, schools, transportation to NYC."
40000124,21 Mary Ln,7023,FANWOOD,NJ,40.63956,-74.399206,NA,4,1,1004,6534,1953,NA,2,NA,"Off-street, On-street","Electric, Gas",Forced air,Laundry room,NA,NA,"For immediate information, text/call Jeni (908) 477-4907; email, Jeni@WelcomeHome123.com. Welcome Home to this Move-In Ready Fanwood Cape! Hardwood floors throughout with updates to the bathroom, kitchen, furnace & fencing. Easily finish 2nd floor storage room,add a 4th bedroom & bathroom. Close to Fanwood Train Station, NYC Bus, schools, parks, shopping and highways."
40000127,15 Mary Ln,7023,FANWOOD,NJ,40.639268,-74.398681,NA,4,1,775,6708,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don't miss this 4 BR cape on a quiet tree-lined street. Updated eat-in kitchen,finished basement with 2 additional rooms,fenced yard. Move right in! Quiet location, great schools, best buy in Fanwood"
40000130,60 Midway Ave,7023,FANWOOD,NJ,40.641124,-74.399262,NA,3,1,1270,6534,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,Classic charming colonial with 1220 sq ft of living space. Entry foyer leads to living room w/woodburning fireplace.  Nice size dining room with hardwood detailed ceiling. Sun filled den with hardwood planked ceiling. Hardwood floors in all rooms except kitchen. Kitchen has breakfast bar and door to backyard.  3 nice size bedrooms.  1 full bathroom on second level.  Walk up attic for plenty of storage. Full basement with storage and laundry.  Good size backyard with a garden behind the 2 car detached garage.  Plenty of parking in driveway. Basement has plenty of space to make a rec room with laundry and separate workshop. Central air. Neutral paint decor. Steps to NYC transportation.  Excellent schools and close to shopping.
40000131,62 Midway Ave,7023,FANWOOD,NJ,40.641228,-74.399132,NA,3,1.5,NA,5662,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Just beautiful! Updated three bedroom colonial includes wood burning fireplace. Updates include kitchen, baths, windows, and recently refinished wood floors. Price reduced!! Buyer responsible for CO and certificates required by city to close"
40000132,64 Midway Ave,7023,FANWOOD,NJ,40.64129,-74.398931,NA,3,2,1357,7649,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000133,66 Midway Ave,7023,FANWOOD,NJ,40.641369,-74.398775,NA,3,2,1221,7840,1950,NA,NA,NA,Garage - Detached,Gas,NA,Dining room,NA,NA,"Move in condition home with a great school system located less than a mile from downtown Scotch Plains Fanwood  and less than 1 mile  from train and short ride to NYC. Living room with fireplace, dining room  kitchen and new powder room. Second floor includes 3 bedrooms and a full bath. Hardwood floors throughout and recess lighting has been installed on first floor.  Updated kitchen with new cabinetry, counters and tile backsplash. Tremendous porch along with a full basement and level yard round out this home."
40000137,189 Farley Ave,7023,FANWOOD,NJ,40.641351,-74.397958,NA,NA,2,NA,303569640,1950,2008,2,NA,NA,Oil,Baseboard,NA,NA,NA,"Tastefully renovated with brand new plumbing system, new country kitchen with granite and stainless appliances, designer baths, totally maintenance-free and ready for you! "
40000139,173 Farley Ave,7023,FANWOOD,NJ,40.640774,-74.397605,NA,2,1,891,9583,1928,NA,NA,NA,Garage - Detached,Gas,NA,Dining room,NA,NA,"Cozy colonial on a wonderful tree lined street.  Freshly painted, beautiful hardwood floors and loads of character.  Be the first to see this one of a kind home. This historic Fanwood home is a modernized edition of Early American architecture and features a six column hooded gabled front entry,  Spacious living room has a warm fireplace,there is a formal dining room, a quaint kitchen, two nice sized bedrooms and an updated bath.  There is also a large yard with mature trees."
40000141,157 Farley Ave,7023,FANWOOD,NJ,40.64051,-74.397208,NA,3,2,NA,10140,NA,NA,2,NA,Garage - Detached,NA,NA,NA,NA,NA,NA
40000142,155 Farley Ave,7023,FANWOOD,NJ,40.640382,-74.397009,NA,3,1.5,1363,13517,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charming 3 bedroom colonial on .31 acre , residential street,First floor office,could be 4th bedroom . Manicured secluded backyard ,inviting 3 season wrap around porch. Close to train, bus to NYC, Near schools, and shopping .Appliances as is. Home warranty included."
40000143,151 Farley Ave,7023,FANWOOD,NJ,40.640252,-74.396799,NA,3,2,1188,10075,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40000144,147 Farley Ave,7023,FANWOOD,NJ,40.640153,-74.396638,NA,NA,NA,1215,7501,1951,NA,1,NA,Garage - Detached,Gas,NA,NA,NA,NA,NA
40000149,123 Farley Ave,7023,FANWOOD,NJ,40.639553,-74.395723,NA,4,3,2000,13068,1929,NA,2,None,Garage - Detached,"Electric, Gas","Baseboard, Radiant","Breakfast nook, Dining room, Family room, Laundry room, Master bath, Pantry, Recreation room, Sun room, Walk-in closet",NA,NA,"Life will be enjoyed so much more in this enchanting Colonial that effervesces with timeless details and wonderful updates. The inviting vestibule with French door opens to a charming interior embroidered with hardwood floors, chestnut woodwork, classic moldings, back-to-back fireplace, custom built-ins and numerous windows. Enlivened by sunshine, the front-to-back living room captivates you with hardwood floors, a side-by-side window and impressive arched brick fireplace. Two sets of side-by-side windows, hardwood floors, easy access to the kitchen and glass door corner cabinets craft the quintessential formal dining room. Radiating with comfort, the family room warms your heart with a brick fireplace, many windows and a sliding glass door to the three-season porch. The updated kitchen offers raised panel cabinets, stainless steel gas oven and refrigerator, dishwasher, built-in microwave and a sun lit breakfast nook. A handsome balustrade lines the stairway leading to the second floor. Truly spacious in size, the master bedroom with walk-in closet and updated bath accompanies two more generous bedrooms and another full bath the second floor. A splendid third floor study and a finished basement with rec room and mini-kitchen complete the lay-out of this beguiling home. A marvelous complement is the superb property that embraces this home. Two patios, mature landscaping and an extraordinary side yard, rarely seen in Fanwood, enhance this truly alluring setting."
40000150,63 Stewart Pl,7023,FANWOOD,NJ,40.639351,-74.395822,NA,4,2,1255,7344,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expanded 4 bedroom Cape with many updates. New Kitchen with center island and granite countertops, first floor family room, finished basement and oversized deck."
40000154,29 Stewart Pl,7023,FANWOOD,NJ,40.638437,-74.396424,NA,3,2,1039,6534,1926,2007,2,NA,"Garage - Detached, Off-street",Gas,Other,"Family room, Dining room",NA,NA,INVESTORS GEM / FIRST TIME HOME BUYERS HANDY MAN SPECIAL
40000155,27 Stewart Pl,7023,FANWOOD,NJ,40.638345,-74.396506,NA,3,1,1025,6360,1904,NA,2,NA,Garage - Detached,"Gas, Electric",NA,"Dining room, Master bath, Office, Walk-in closet",NA,NA,Great Location:
